gid,name,state_name,fips,a_sqkm,mms_refineries_kg,mms_metals_kg,mms_ammonia_kg,mms_biofuels_kg,mms_synfuels_kg,mms_ngas_kg,mms_ld_fcev_kg,mms_mhd_fcev_kg,mms_season_enrgy_strg_kg,tot_kg,solar_metric_tons,wind_metric_tons,solar_kg,wind_kg,total_resource_kg,total_resource_minus_total_demand_kg
"484",Spalding,Georgia,"13255",517.085389442697,0,0,0,0,0,1521722.81609144,4237213.26427818,1614176.48401256,1339993.9654067,8713106.52978888,276580.480028,0,276580480.028,0,276580480.028,267867373.498211
"485",Stephens,Georgia,"13257",477.121432675024,0,0,0,0,0,1521722.81609144,2454747.23529573,935141.805302598,1236429.90810434,6148041.76479411,24194.7248043,0,24194724.8043,0,24194724.8043,18046683.0395059
"486",Stewart,Georgia,"13259",1206.75576573694,0,0,0,0,0,1521722.81609144,979244.713536917,373045.605707594,3127230.96962777,6001244.10496372,514483.270435,0,514483270.435,0,514483270.435,508482026.330036
"764",Bremer,Iowa,"19017",1137.49904507356,0,0,0,0,0,1478951.01374486,3373144.50470497,1285007.43226067,663211.166816007,6800314.1175265,920868.119307,295366.633,920868119.307,295366633,1216234752.307,1209434438.18947
"487",Sumter,Georgia,"13261",1273.51924361457,0,0,0,0,0,1521722.81609144,3037713.52688445,1157224.20242613,3300244.28482124,9016904.83022325,1039021.49956,0,1039021499.56,0,1039021499.56,1030004594.72978
"488",Talbot,Georgia,"13263",1026.17346671416,0,0,0,0,0,1521722.81609144,1149938.06213941,438071.643366438,2659263.4039408,5768995.92553809,490660.254783,0,490660254.783,0,490660254.783,484891258.857462
"528",Boundary,Idaho,"16021",3254.0060427022,0,0,0,0,0,3160105.56204103,1443137.70753077,549766.746537548,1479154.95164483,6632164.96775418,204414.27113,1373.94887,204414271.13,1373948.87,205788220,199156055.032246
"489",Taliaferro,Georgia,"13265",508.479526171106,0,0,0,0,0,1521722.81609144,167592.342379199,63844.7019529871,1317692.41698454,3070852.27740817,323692.009565,0,323692009.565,0,323692009.565,320621157.287592
"490",Tattnall,Georgia,"13267",1267.38793682226,0,0,0,0,0,1521722.81609144,1857839.82238428,707748.504810186,3284355.39244583,7371666.53573173,839822.205652,0,839822205.652,0,839822205.652,832450539.116268
"491",Taylor,Georgia,"13269",977.602615641313,0,0,0,0,0,1521722.81609144,1261582.32471313,480602.791076351,2533395.12635821,5797303.05823913,636740.211304,0,636740211.304,0,636740211.304,630942908.245761
"612",Lawrence,Illinois,"17101",968.862755621447,0,0,0,0,0,4543664.29564709,1786776.61334856,680676.806089949,1023944.00436686,8035061.71945246,820429.928913,0,820429928.913,0,820429928.913,812394867.193548
"492",Telfair,Georgia,"13271",1151.19846526875,0,0,0,0,0,1521722.81609144,1186152.88214934,451867.765295348,2983257.75189308,6143001.21542921,777644.664596,0,777644664.596,0,777644664.596,771501663.380571
"493",Terrell,Georgia,"13273",876.215073070268,0,0,0,0,0,1521722.81609144,1659164.98134277,632062.850968364,2270655.74522999,6083606.39363256,760447.014348,0,760447014.348,0,760447014.348,754363407.954368
"494",Thomas,Georgia,"13275",1431.12349889516,0,0,0,0,0,1521722.81609144,4998612.05400795,1904233.16624254,3708665.70865227,12133233.7449942,896790.467893,0,896790467.893,0,896790467.893,884657234.148006
"497",Towns,Georgia,"13281",444.370079051845,0,0,0,0,0,1521722.81609144,1126380.5033481,429097.335242213,1151556.85404017,4228757.50872192,0,0,0,0,0,-4228757.50872192
"500",Turner,Georgia,"13287",750.405495291459,0,0,0,0,0,1521722.81609144,723573.643447303,275647.102672537,1944628.21001832,4465571.7722296,619105.953913,0,619105953.913,0,619105953.913,614640382.14077
"502",Union,Georgia,"13291",853.303615743584,0,0,0,0,0,1521722.81609144,2333563.01536775,888976.38811903,2211282.15784336,6955544.37742158,1582.4361413,1180.676609,1582436.1413,1180676.609,2763112.7503,-4192431.62712158
"587",Fayette,Illinois,"17051",1878.35813931109,0,0,0,0,0,4543664.29564709,1912675.75384104,728638.383491216,1036048.88541191,8221027.31839125,1607625.7787,2902.321304,1607625778.7,2902321.304,1610528100.004,1602307072.68561
"503",Upson,Georgia,"13293",846.381197016003,0,0,0,0,0,1521722.81609144,2235816.13902095,851739.482789089,2193343.14910251,6802621.58700399,344971.678696,0,344971678.696,0,344971678.696,338169057.108996
"504",Walker,Georgia,"13295",1157.31129364272,0,0,0,0,0,1521722.81609144,5295492.919859,2017330.63911465,2999098.75862027,11833645.1336854,181667.558593,29.784,181667558.593,29784,181697342.593,169863697.459315
"505",Walton,Georgia,"13297",854.051752529044,0,0,0,0,0,1521722.81609144,7321362.54236299,2789090.49644589,2213220.90683585,13845396.7617362,438579.576587,0,438579576.587,0,438579576.587,424734179.825264
"512",White,Georgia,"13311",629.084519197724,0,0,0,0,0,1521722.81609144,2515177.99843835,958163.048438531,1630232.60116527,6625296.46413359,37543.2510435,0,37543251.0435,0,37543251.0435,30917954.5793664
"558",Teton,Idaho,"16081",1165.86199272248,0,0,0,0,0,3160105.56204103,969949.281940378,369504.488903685,11827.979707669,4511387.31259277,443810.48587,5977.519304,443810485.87,5977519.304,449788005.174,445276617.861407
"506",Ware,Georgia,"13299",2346.82066555874,0,0,0,0,0,1521722.81609144,4651630.91366726,1772049.87448906,6081636.79335393,14027040.3976017,950366.950652,0,950366950.652,0,950366950.652,936339910.254398
"507",Warren,Georgia,"13301",741.84500568172,0,0,0,0,0,1521722.81609144,730240.76614259,278186.958941157,1922444.24456082,4452594.78573601,530613.295217,0,530613295.217,0,530613295.217,526160700.431264
"508",Washington,Georgia,"13303",1770.64186314519,0,0,0,0,0,1521722.81609144,2439437.43094787,929309.498875754,4588505.99911211,9478975.74502717,1136966.66761,0,1136966667.61,0,1136966667.61,1127487691.86497
"509",Wayne,Georgia,"13305",1682.06829487926,0,0,0,0,0,1521722.81609144,3227247.70113225,1229427.69748425,4358973.21904496,10337371.4337529,897093.329783,0,897093329.783,0,897093329.783,886755958.349247
"510",Webster,Georgia,"13307",543.591525159329,0,0,0,0,0,1521722.81609144,504580.23154015,192221.040870472,1408682.93367327,3627207.02217533,360246.543696,0,360246543.696,0,360246543.696,356619336.673825
"511",Wheeler,Georgia,"13309",776.281000294788,0,0,0,0,0,1521722.81609144,785510.392910021,299242.05488364,2011682.93881985,4618158.20270495,573475.421087,0,573475421.087,0,573475421.087,568857262.884295
